1:1	سمو ءله رحم رحم
2:158	صفو مرو شعر ءله حجج بیت عمر جنح طوف طوع خیر ءله شکر علم
2:159	کتم نزل بین هدی بعد بین ءنس کتب لعن ءله لعن لعن
2:160	توب صلح بین توب توب رحم
2:161	کفر موت کفر لعن ءله ملک ءنس جمع
2:162	خلد خفف عذب نظر
2:163	ءله ءله وحد ءله رحم رحم
2:164	خلق سمو ءرض خلف لیل نهر فلک جری بحر نفع ءنس نزل ءله سمو موه حیی ءرض بعد موت بثث کلل دبب صرف روح سحب سخر بین سمو ءرض ءیی قوم عقل
2:165	ءنس ءخذ دون ءله ندد حبب حبب ءله ءمن شدد حبب ءله رءی ظلم رءی عذب قوی ءله جمع ءله شدد عذب
2:166	برء تبع تبع رءی عذب قطع سبب
2:167	قول تبع کرر برء برء رءی ءله عمل حسر خرج نور
2:168	ءنس ءکل ءرض حلل طیب تبع خطو شطن عدو بین
2:169	ءمر سوء فحش قول ءله علم
2:170	قول تبع نزل ءله قول تبع لفو ءبو کون ءبو عقل شیء هدی
2:171	مثل کفر مثل نعق سمع دعو ندو صمم بکم عمی عقل
2:172	ءمن ءکل طیب رزق شکر ءله کون عبد
2:173	حرم موت دمو لحم خنزر هلل غیر ءله ضرر غیر بغی عدو ءثم ءله غفر رحم
2:174	کتم نزل ءله کتب شری ثمن قلل ءکل بطن نور کلم ءله یوم قوم زکو عذب ءلم
2:175	شری ضلل هدی عذب غفر صبر نور
2:176	ءله نزل کتب حقق خلف کتب شقق بعد
2:177	لیس برر ولی وجه قبل شرق غرب برر ءمن ءله یوم ءخر ملک کتب نبو ءتی مول حبب ذوی قرب یتم سکن بنو سبل سءل رقب قوم صلو ءتی زکو وفی عهد عهد صبر بءس ضرر حین بءس صدق وقی
2:178	ءمن کتب قصص قتل حرر حرر عبد عبد ءنث ءنث عفو ءخو شیء تبع عرف ءدی حسن خفف ربب رحم عدو بعد عذب ءلم
2:179	قصص حیی ءول لبب وقی
2:180	کتب حضر وحد موت ترک خیر وصی ولد قرب عرف حقق وقی
2:181	بدل بعد سمع ءثم بدل ءله سمع علم
2:182	خوف وصی جنف ءثم صلح بین ءثم ءله غفر رحم
2:183	ءمن کتب صوم کتب قبل وقی
2:184	یوم عدد کون مرض سفر عدد یوم ءخر طوق فدی طعم سکن طوع خیر خیر صوم خیر کون علم
2:185	شهر رمض نزل قرء هدی ءنس بین هدی فرق شهد شهر صوم کون مرض سفر عدد یوم ءخر رود ءله یسر رود عسر کمل عدد کبر ءله هدی شکر
2:186	سءل عبد قرب جوب دعو دعو دعو جوب ءمن رشد
2:187	حلل لیل صوم رفث نسو لبس لبس علم ءله کون خون نفس توب عفو ءین بشر بغی کتب ءله ءکل شرب بین خیط بیض خیط سود فجر تمم صوم لیل بشر عکف سجد حدد ءله قرب بین ءله ءیی ءنس وقی
2:188	ءکل مول بین بطل دلو حکم ءکل فرق مول ءنس ءثم علم
2:189	سءل هلل قول وقت ءنس حجج لیس برر ءتی بیت ظهر برر وقی ءتی بیت بوب وقی ءله فلح
2:190	قتل سبل ءله قتل عدو ءله حبب عدو
2:191	قتل حیث ثقف خرج حیث خرج فتن شدد قتل قتل عند سجد حرم قتل قتل قتل جزی کفر
2:192	نهی ءله غفر رحم
2:193	قتل کون فتن کون دین ءله نهی عدو ظلم
2:194	شهر حرم شهر حرم حرم قصص عدو عدو مثل عدو وقی ءله علم ءله وقی
2:195	نفق سبل ءله لقی یدی هلک حسن ءله حبب حسن
2:196	تمم حجج عمر ءله حصر یسر هدی حلق رءس بلغ هدی حلل کون مرض ءذی رءس فدی صوم صدق نسک ءمن متع عمر حجج یسر هدی وجد صوم ثلث یوم حجج سبع رجع عشر کمل کون ءهل حضر سجد حرم وقی ءله علم ءله شدد عقب
2:197	حجج شهر علم فرض حجج رفث فسق جدل حجج فعل خیر علم ءله زود خیر زود وقی وقی ءول لبب
2:198	لیس جنح بغی فضل ربب فیض عرف ذکر ءله عند شعر حرم ذکر هدی کون قبل ضلل
2:199	فیض حیث فیض ءنس غفر ءله ءله غفر رحم
2:200	قضی نسک ذکر ءله ذکر ءبو شدد ذکر ءنس قول ربب ءتی دنو ءخر خلق
2:201	قول ربب ءتی دنو حسن ءخر حسن وقی عذب نور
2:202	نصب کسب ءله سرع حسب
2:203	ذکر ءله یوم عدد عجل یوم ءثم ءخر ءثم وقی وقی ءله علم حشر
2:204	ءنس عجب قول حیی دنو شهد ءله قلب لدد خصم
2:205	ولی سعی ءرض فسد هلک حرث نسل ءله حبب فسد
2:206	قول وقی ءله ءخذ عزز ءثم حسب جهنم بءس مهد
2:207	ءنس شری نفس بغی رضو ءله ءله رءف عبد
2:208	ءمن دخل سلم کفف تبع خطو شطن عدو بین
2:209	زلل بعد جیء بین علم ءله عزز حکم
2:210	نظر ءتی ءله ظلل غمم ملک قضی ءمر ءله رجع ءمر
2:211	سءل بنو ءتی ءیی بین بدل نعم ءله بعد جیء ءله شدد عقب
2:212	زین کفر حیی دنو سخر ءمن وقی فوق یوم قوم ءله رزق شیء غیر حسب
2:213	کون ءنس ءمم وحد بعث ءله نبو بشر نذر نزل کتب حقق حکم بین ءنس خلف خلف ءتی بعد جیء بین بغی بین هدی ءله ءمن خلف حقق ءذن ءله هدی شیء صرط قوم
2:214	حسب دخل جنن ءتی مثل خلو قبل مسس بءس ضرر زلزل قول رسل ءمن نصر ءله نصر ءله قرب
2:215	سءل ذوی نفق قول نفق خیر ولد قرب یتم سکن بنو سبل فعل خیر ءله علم
2:216	کتب قتل کره عسی کره شیء خیر عسی حبب شیء شرر ءله علم علم
2:217	سءل شهر حرم قتل قول قتل کبر صدد سبل ءله کفر سجد حرم خرج ءهل کبر عند ءله فتن کبر قتل زیل قتل ردد دین طوع ردد دین موت کفر حبط عمل دنو ءخر صحب نور خلد
2:218	ءمن هجر جهد سبل ءله رجو رحم ءله ءله غفر رحم
2:219	سءل خمر یسر قول ءثم کبر نفع ءنس ءثم کبر نفع سءل ذوی نفق قول عفو بین ءله ءیی فکر
2:220	دنو ءخر سءل یتم قول صلح خیر خلط ءخو ءله علم فسد صلح شیء ءله عنت ءله عزز حکم
2:221	نکح شرک ءمن ءمو ءمن خیر شرک عجب نکح شرک ءمن عبد ءمن خیر شرک عجب دعو نور ءله دعو جنن غفر ءذن بین ءیی ءنس ذکر
2:222	سءل حیض قول ءذی عزل نسو حیض قرب طهر طهر ءتی حیث ءمر ءله ءله حبب توب حبب طهر
2:223	نسو حرث ءتی حرث شیء قدم نفس وقی ءله علم لقی بشر ءمن
2:224	جعل ءله عرض یمن برر وقی صلح بین ءنس ءله سمع علم
2:225	ءخذ ءله لغو یمن ءخذ کسب قلب ءله غفر حلم
2:226	ءلو نسو ربص ربع شهر فیء ءله غفر رحم
2:227	عزم طلق ءله سمع علم
2:228	طلق ربص نفس ثلث قرء حلل کتم خلق ءله رحم کون ءمن ءله یوم ءخر بعل حقق ردد رود صلح مثل عرف رجل درج ءله عزز حکم
2:229	طلق مرر مسک عرف سرح حسن حلل ءخذ ءتی شیء خوف قوم حدد ءله خوف قوم حدد ءله جنح فدی حدد ءله عدو عدو حدد ءله ظلم
2:230	طلق حلل بعد نکح زوج غیر طلق جنح رجع ظنن قوم حدد ءله حدد ءله بین قوم علم
2:231	طلق نسو بلغ ءجل مسک عرف سرح عرف مسک ضرر عدو فعل ظلم نفس ءخذ ءیی ءله هزء ذکر نعم ءله نزل کتب حکم وعظ وقی ءله علم ءله کلل شیء علم
2:232	طلق نسو بلغ ءجل عضل نکح زوج رضو بین عرف وعظ کون ءمن ءله یوم ءخر زکو طهر ءله علم علم
2:233	ولد رضع ولد حول کمل رود تمم رضع ولد رزق کسو عرف کلف نفس وسع ضرر ولد ولد ولد ولد ورث مثل رود فصل رضو شور جنح رود رضع ولد جنح سلم ءتی عرف وقی ءله علم ءله عمل بصر
2:234	وفی وذر زوج ربص نفس ربع شهر عشر بلغ ءجل جنح فعل نفس عرف ءله عمل خبر
2:235	جنح عرض خطب نسو کنن نفس علم ءله ذکر وعد سرر قول قول عرف عزم عقد نکح بلغ کتب ءجل علم ءله علم نفس حذر علم ءله غفر حلم
2:236	جنح طلق نسو مسس فرض فرض متع وسع قدر قتر قدر متع عرف حقق حسن
2:237	طلق قبل مسس فرض فرض نصف فرض عفو عفو یدی عقد نکح عفو قرب وقی نسی فضل بین ءله عمل بصر
2:238	حفظ صلو صلو وسط قوم ءله قنت
2:239	خوف رجل رکب ءمن ذکر ءله علم کون علم
2:240	وفی وذر زوج وصی زوج متع حول غیر خرج خرج جنح فعل نفس عرف ءله عزز حکم
2:241	طلق متع عرف حقق وقی
2:242	بین ءله ءیی عقل
2:243	رءی خرج دور ءلف حذر موت قول ءله موت حیی ءله ذوی فضل ءنس کثر ءنس شکر
2:244	قتل سبل ءله علم ءله سمع علم
2:245	ذوی قرض ءله قرض حسن ضعف ضعف کثر ءله قبض بسط رجع
2:246	رءی ملء بنو بعد وسی قول نبو بعث ملک قتل سبل ءله قول عسی کتب قتل قتل قول قتل سبل ءله خرج دور بنو کتب قتل ولی قلل ءله علم ظلم
2:247	قول نبو ءله بعث طلت ملک قول کون ملک حقق ملک ءتی وسع مول قول ءله صفو زید بسط علم جسم ءله ءتی ملک شیء ءله وسع علم
2:248	قول نبو ءیی ملک ءتی تبت سکن ربب بقی ترک ءول وسی ءول هرن حمل ملک ءیی کون ءمن
2:249	فصل طلت جند قول ءله بلو نهر شرب لیس طعم غرف غرف یدی شرب قلل جوز ءمن قول طوق یوم جلت جند قول ظنن لقی ءله فءی قلل غلب فءی کثر ءذن ءله ءله صبر
2:250	برز جلت جند قول ربب فرغ صبر ثبت قدم نصر قوم کفر
2:251	هزم ءذن ءله قتل دود جلت ءتی ءله ملک حکم علم شیء دفع ءله ءنس بعض بعض فسد ءرض ءله ذوی فضل علم
2:252	ءیی ءله تلو حقق رسل
2:253	رسل فضل بعض بعض کلم ءله رفع بعض درج ءتی عیس بنو ریم بین ءید روح قدس شیء ءله قتل بعد بعد جیء بین خلف ءمن کفر شیء ءله قتل ءله فعل رود
2:254	ءمن نفق رزق قبل ءتی یوم بیع خلل شفع کفر ظلم
2:255	ءله ءله حیی قوم ءخذ وسن نوم سمو ءرض ذوی شفع عند ءذن علم بین یدی خلف حوط شیء علم شیء وسع کرس سمو ءرض ءود حفظ علو عظم
2:256	کره دین بین رشد غوی کفر طغی ءمن ءله مسک عرو وثق فصم ءله سمع علم
2:257	ءله ولی ءمن خرج ظلم نور کفر ولی طغی خرج نور ظلم صحب نور خلد
2:258	رءی حجج برهم ربب ءتی ءله ملک قول برهم ربب حیی موت قول حیی موت قول برهم ءله ءتی شمس شرق ءتی غرب بهت کفر ءله هدی قوم ظلم
2:259	مرر قری خوی عرش قول حیی ءله بعد موت موت ءله مءی عوم بعث قول لبث قول لبث یوم بعض یوم قول لبث مءی عوم نظر طعم شرب سنه نظر حمر جعل ءیی ءنس نظر عظم نشز کسو لحم بین قول علم ءله کلل شیء قدر
2:260	قول برهم ربب رءی حیی موت قول ءمن قول طمءن قلب قول ءخذ ربع طیر صور جعل کلل جبل جزء دعو ءتی سعی علم ءله عزز حکم
2:261	مثل نفق مول سبل ءله مثل حبب نبت سبع سنبل کلل سنبل مءی حبب ءله ضعف شیء ءله وسع علم
2:262	نفق مول سبل ءله تبع نفق منن ءذی ءجر عند ربب خوف حزن
2:263	قول عرف غفر خیر صدق تبع ءذی ءله غنی حلم
2:264	ءمن بطل صدق منن ءذی نفق مول رءی ءنس ءمن ءله یوم ءخر مثل مثل صفو ترب صوب وبل ترک صلد قدر شیء کسب ءله هدی قوم کفر
2:265	مثل نفق مول بغی رضو ءله ثبت نفس مثل جنن ربو صوب وبل ءتی ءکل ضعف صوب وبل طلل ءله عمل بصر
2:266	ودد وحد کون جنن نخل عنب جری تحت نهر کلل ثمر صوب کبر ذرر ضعف صوب عصر نور حرق بین ءله ءیی فکر
2:267	ءمن نفق طیب کسب خرج ءرض یمم خبث نفق لیس ءخذ غمض علم ءله غنی حمد
2:268	شطن وعد فقر ءمر فحش ءله وعد غفر فضل ءله وسع علم
2:269	ءتی حکم شیء ءتی حکم ءتی خیر کثر ذکر ءول لبب
2:270	نفق نفق نذر نذر ءله علم ظلم نصر
2:271	بدو صدق نعم خفی ءتی فقر خیر کفر سوء ءله عمل خبر
2:272	لیس هدی ءله هدی شیء نفق خیر نفس نفق بغی وجه ءله نفق خیر وفی ظلم
2:273	فقر حصر سبل ءله طوع ضرب ءرض حسب جهل غنی عفف عرف سوم سءل ءنس لحف نفق خیر ءله علم
2:274	نفق مول لیل نهر سرر علن ءجر عند ربب خوف حزن
2:275	ءکل ربو قوم قوم خبط شطن مسس قول بیع مثل ربو حلل ءله بیع حرم ربو جیء وعظ ربب نهی سلف ءمر ءله عود صحب نور خلد
2:276	محق ءله ربو ربو صدق ءله حبب کلل کفر ءثم
2:277	ءمن عمل صلح قوم صلو ءتی زکو ءجر عند ربب خوف حزن
2:278	ءمن وقی ءله وذر بقی ربو کون ءمن
2:279	فعل ءذن حرب ءله رسل توب رءس مول ظلم ظلم
2:280	کون ذوی عسر نظر یسر صدق خیر کون علم
2:281	وقی یوم رجع ءله وفی کلل نفس کسب ظلم
2:282	ءمن دین دین ءجل سمو کتب کتب بین کتب عدل ءبی کتب کتب علم ءله کتب ملل حقق وقی ءله ربب بخس شیء کون حقق سفه ضعف طوع ملل ملل ولی عدل شهد شهد رجل کون رجل رجل مرء رضو شهد ضلل وحد ذکر وحد ءخر ءبی شهد دعو سءم کتب صغر کبر ءجل قسط عند ءله قوم شهد دنو ریب کون تجر حضر دور بین لیس جنح کتب شهد بیع ضرر کتب شهد فعل فسق وقی ءله علم ءله ءله کلل شیء علم
2:283	کون سفر وجد کتب رهن قبض ءمن بعض بعض ءدی ءمن ءمن وقی ءله ربب کتم شهد کتم ءثم قلب ءله عمل علم
2:284	ءله سمو ءرض بدو نفس خفی حسب ءله غفر شیء عذب شیء ءله کلل شیء قدر
2:285	ءمن رسل نزل ربب ءمن کلل ءمن ءله ملک کتب رسل فرق بین وحد رسل قول سمع طوع غفر ربب صیر
2:286	کلف ءله نفس وسع کسب کسب ربب ءخذ نسی خطء ربب حمل ءصر حمل قبل ربب حمل طوق عفو غفر رحم ولی نصر قوم کفر
3:1	NA
3:2	ءله ءله حیی قوم
3:3	نزل کتب حقق صدق بین یدی نزل وری نجل
3:4	قبل هدی ءنس نزل فرق کفر ءیی ءله عذب شدد ءله عزز ذوی نقم
3:5	ءله خفی شیء ءرض سمو
3:6	صور رحم شیء ءله عزز حکم
3:7	نزل کتب ءیی حکم ءمم کتب ءخر شبه قلب زیغ تبع شبه بغی فتن بغی ءول علم ءول ءله رسخ علم قول ءمن کلل عند ربب ذکر ءول لبب
3:8	ربب زیغ قلب بعد هدی وهب لدن رحم وهب
3:9	ربب جمع ءنس یوم ریب ءله خلف وعد
3:10	کفر غنی مول ولد ءله شیء وقد نور
3:11	دءب ءول فرعن قبل کذب ءیی ءخذ ءله ذنب ءله شدد عقب
3:12	قول کفر غلب حشر جهنم بءس مهد
3:13	کون ءیی فءی لقی فءی قتل سبل ءله ءخر کفر رءی مثل رءی عین ءله ءید نصر شیء عبر ءول بصر
3:14	زین ءنس حبب شهو نسو بنو قنطر قنطر ذهب فضض خیل سوم نعم حرث متع حیی دنو ءله عند حسن ءوب
